#tf_id	tg_id	regulatory_function
YAL051W	YPL031C	NaN
YAL051W	YOR363C	NaN
YAL051W	YKL163W	NaN
YAL051W	YOL011W	NaN
YAL051W	YPL036W	NaN
YAL051W	YGL037C	NaN
YAL051W	YIL160C	NaN
YAL051W	YGL205W	NaN
YAL051W	YDL188C	NaN
YAL051W	YEL060C	NaN
YAL051W	YOR362C	NaN
YAL051W	YMR314W	NaN
YAL051W	YOL038W	NaN
YAL051W	YGR135W	NaN
YAL051W	YPL156C	NaN
YAL051W	YDL039C	NaN
YAL051W	YHR076W	NaN
YAL051W	YKR093W	NaN
YAL051W	YGR253C	NaN
YAL051W	YGL063W	NaN
YAL051W	YOR348C	NaN
YAL051W	YPL147W	NaN
YAL051W	YKL188C	NaN
YAL051W	YIL120W	NaN
YAL051W	YEL037C	NaN
YAL051W	YOR101W	NaN
YAL051W	YNL098C	NaN
YAL051W	YOR048C	NaN
YAL051W	YDR202C	NaN
YAL051W	YNR018W	NaN
YAL051W	YOR220W	NaN
YAL051W	YBR005W	NaN
YAL051W	YDL135C	NaN
YAL051W	YIL139C	NaN
YAL051W	YNL312W	NaN
YAL051W	YNL290W	NaN
YAL051W	YBR087W	NaN
YAL051W	YPL066W	NaN
YAL051W	YIL118W	NaN
YAL051W	YNL180C	NaN
YAL051W	YHL027W	NaN
YAL051W	YGL045W	NaN
YAL051W	YLR009W	NaN
YAL051W	YNL002C	NaN
YAL051W	YDR255C	NaN
YAL051W	YMR235C	NaN
YAL051W	YDR279W	NaN
YAL051W	YMR200W	NaN
YAL051W	YOL005C	NaN
YAL051W	YBR154C	NaN
YAL051W	YNR003C	NaN
YAL051W	YHR200W	NaN
YAL051W	YOR261C	NaN
YAL051W	YML063W	NaN
YAL051W	YNL096C	NaN
YAL051W	YOR117W	NaN
YAL051W	YGR095C	NaN
YAL051W	YCL031C	NaN
YAL051W	YDR083W	NaN
YAL051W	YOR049C	NaN
YAL051W	YNR037C	NaN
YAL051W	YJR113C	NaN
YAL051W	YHR087W	NaN
YAL051W	YGR161C	NaN
YAL051W	YLL002W	NaN
YAL051W	YCR009C	NaN
YAL051W	YPL274W	NaN
YAL051W	YPL273W	NaN
YAL051W	YOR367W	NaN
YAL051W	YMR272C	NaN
YAL051W	YMR305C	NaN
YAL051W	YBL050W	NaN
YAL051W	YIL076W	NaN
YAL051W	YLR292C	NaN
YAL051W	YDR077W	NaN
YAL051W	YLR026C	NaN
YAL051W	YAL067C	NaN
YAL051W	YHR207C	NaN
YAL051W	YOR315W	NaN
YAL051W	YMR118C	NaN
YAL051W	YLR164W	NaN
YAL051W	YBL058W	NaN
